Current,Forcast,Real,Dates
[-2.5781036758586566],[-0.28121427],[2.333464915774812],2022-09-26
[2.333464915774812],[-0.28201306],[4.6496834724572125],2022-09-27
[4.6496834724572125],[-0.28164437],[-1.1199003674461208],2022-09-28
[-1.1199003674461208],[-0.27998534],[-2.142072413216937],2022-09-29
[-2.142072413216937],[-0.27711788],[5.2082016617280535],2022-09-30
[5.2082016617280535],[-0.27853113],[3.4556970997991097],2022-10-03
[3.4556970997991097],[-0.27961668],[1.4332010416963357],2022-10-04
[1.4332010416963357],[-0.279801],[0.7862292561714384],2022-10-05
[0.7862292561714384],[-0.27889982],[4.737142550562312],2022-10-06
[4.737142550562312],[-0.27728173],[-1.629967774372858],2022-10-07
[-1.629967774372858],[-0.2795757],[-1.9532523131181136],2022-10-10
[-1.9532523131181136],[-0.28137812],[-2.3279259838567583],2022-10-11
[-2.3279259838567583],[-0.28197208],[2.108403847900618],2022-10-12
[2.108403847900618],[-0.28125522],[-3.9277297452890134],2022-10-13
[-3.9277297452890134],[-0.27926847],[-0.175214957142245],2022-10-14
[-0.175214957142245],[-0.2810299],[-3.089163840311926],2022-10-17
[-3.089163840311926],[-0.2821769],[3.2963093057149564],2022-10-18
[3.2963093057149564],[-0.28223836],[0.5026303797039446],2022-10-19
[0.5026303797039446],[-0.28137812],[-1.081647207333802],2022-10-20
[-1.081647207333802],[-0.27922752],[-0.5526175236197304],2022-10-21
[-0.5526175236197304],[-0.2810299],[0.8749087819218175],2022-10-24
[0.8749087819218175],[-0.2823203],[3.0356352280229544],2022-10-25
[3.0356352280229544],[-0.28260702],[1.3309044707156517],2022-10-26
[1.3309044707156517],[-0.2818287],[-1.3246523135616002],2022-10-27
[-1.3246523135616002],[-0.27998534],[-1.5585924036402758],2022-10-28
[-1.5585924036402758],[-0.2821769],[2.12643475470081],2022-10-31
[2.12643475470081],[-0.28395882],[1.8445142047718408],2022-11-01
[1.8445142047718408],[-0.2847781],[-2.0333353678385464],2022-11-02
[-2.0333353678385464],[-0.28434798],[5.03572931111853],2022-11-03
[5.03572931111853],[-0.28303716],[-0.8854332031313703],2022-11-04
[-0.8854332031313703],[-0.28584316],[-3.1375936645521705],2022-11-07
[-3.1375936645521705],[-0.2881576],[-3.4641791746627604],2022-11-08
[-3.4641791746627604],[-0.28922266],[0.7456592986077197],2022-11-09
[0.7456592986077197],[-0.288854],[2.879608914789003],2022-11-10
[2.879608914789003],[-0.2872769],[-3.473467142188808],2022-11-11
[-3.473467142188808],[-0.28987807],[1.2227732488398857],2022-11-14
[1.2227732488398857],[-0.2918648],[-1.5301447987488217],2022-11-15
[-1.5301447987488217],[-0.29264313],[-4.6150217516641305],2022-11-16
[-4.6150217516641305],[-0.29192626],[-1.9108250493097785],2022-11-17
[-1.9108250493097785],[-0.2898576],[-0.4370610216262065],2022-11-18
[-0.4370610216262065],[-0.2925612],[1.53015620210995],2022-11-21
[1.53015620210995],[-0.29436362],[-3.718338011501672],2022-11-22
[-3.718338011501672],[-0.29475278],[-2.1298481012459973],2022-11-23
[-2.1298481012459973],[-0.29243833],[1.258520057466498],2022-11-25
[1.258520057466498],[-0.2918648],[1.2428781862032563],2022-11-28
[1.2428781862032563],[-0.29252025],[3.0051230117962997],2022-11-29
[3.0051230117962997],[-0.2926636],[0.8317791974691886],2022-11-30
[0.8317791974691886],[-0.2919058],[-1.5267149041281414],2022-12-01
[-1.5267149041281414],[-0.2899805],[-3.8134570189329793],2022-12-02
[-3.8134570189329793],[-0.2800468],[-3.4836868510911363],2022-12-05
[-3.4836868510911363],[-0.27853113],[-3.0168321397569438],2022-12-06
[-3.0168321397569438],[-0.2793504],[-0.7637870232489377],2022-12-07
[-0.7637870232489377],[-0.279842],[-0.6157325035592578],2022-12-08
[-0.6157325035592578],[-0.27885884],[3.0273185405575584],2022-12-09
[3.0273185405575584],[-0.26405048],[3.034032084539988],2022-12-12
[3.034032084539988],[-0.25675893],[2.5069629990048132],2022-12-13
[2.5069629990048132],[-0.25739387],[-1.5139728098168064],2022-12-14
[-1.5139728098168064],[-0.25989264],[-2.3912753649047858],2022-12-15
[-2.3912753649047858],[-0.2614083],[1.2114706081404734],2022-12-16
[1.2114706081404734],[-0.25143364],[1.1969595255509091],2022-12-19
[1.1969595255509091],[-0.2522734],[2.89131907414901],2022-12-20
[2.89131907414901],[-0.2560216],[-1.0218457560384877],2022-12-21
[-1.0218457560384877],[-0.259524],[2.671312107226228],2022-12-22
[2.671312107226228],[-0.26173604],[-0.03770585748796407],2022-12-23
[-0.03770585748796407],[-0.26669264],[-0.7167103024935528],2022-12-27
[-0.7167103024935528],[-0.27044082],[-0.7092167744260678],2022-12-28
[-0.7092167744260678],[-0.2725914],[2.3724497119271035],2022-12-29
[2.3724497119271035],[-0.27322635],[-4.149017869950285],2022-12-30
[-4.149017869950285],[-0.27652392],[-5.316526648980116],2023-01-03
[-5.316526648980116],[-0.2786745],[1.1394863712025372],2023-01-04
[1.1394863712025372],[-0.27908415],[0.1357383963710248],2023-01-05
[0.1357383963710248],[-0.27787572],[1.1657864301019885],2023-01-06
[1.1657864301019885],[-0.27150586],[0.6565798086527792],2023-01-09
[0.6565798086527792],[-0.27136248],[3.04845691134048],2023-01-10
[3.04845691134048],[-0.27357453],[1.2659807275254735],2023-01-11
[1.2659807275254735],[-0.2759709],[1.8752407604907404],2023-01-12
[1.8752407604907404],[-0.2759709],[-1.2647159134876769],2023-01-13
[-1.2647159134876769],[-0.26790106],[1.6867493427932059],2023-01-16
[1.6867493427932059],[-0.26822877],[-0.87303186028673],2023-01-17
[-0.87303186028673],[-0.27130103],[1.069449469326102],2023-01-18
[1.069449469326102],[-0.27488536],[1.2199622870669629],2023-01-19
[1.2199622870669629],[-0.27681068],[0.3812633099206408],2023-01-20
[0.3812633099206408],[-0.27334923],[-1.8255396263466253],2023-01-23
[-1.8255396263466253],[-0.27523357],[0.024964773676046548],2023-01-24
[0.024964773676046548],[-0.27871546],[1.072988888308231],2023-01-25
[1.072988888308231],[-0.28197208],[-1.641774837652875],2023-01-26
[-1.641774837652875],[-0.28256607],[-2.2339342024089457],2023-01-27
[-2.2339342024089457],[-0.27244803],[1.2451876786945633],2023-01-30
[1.2451876786945633],[-0.27216128],[-3.1190554061179654],2023-01-31
[-3.1190554061179654],[-0.2756432],[-0.6936348426773122],2023-02-01
[-0.6936348426773122],[-0.27961668],[-3.281494404188805],2023-02-02
[-3.281494404188805],[-0.28160343],[0.9810617613994452],2023-02-03
[0.9810617613994452],[-0.26964203],[4.088515388399074],2023-02-06
[4.088515388399074],[-0.26968297],[1.7241403183536477],2023-02-07
